title,writer,publisher,school,id_number,call_num,description,pubDate,img,catgory,rental_count,like_count,book,member,affiliation,rental_requset_member,rental_requset_status,rental_requset_data,rental_status,over_due_status,return_date,reservation_count
피터 드러커가 직장 생활을 한다면 ,모리오카 겐지,대성닷컴,대덕소프트웨어마이스터고등학교,IT00005038,325.211 모298ㅍ c.2,"현대 경영학의 창시자 피터 드러커는 매니지먼트를 연구하면서 다음 사회를 향한 시선, 즉 어떤 조직과 어떤 사회가 사람을 행복하게 할 수 있는가에 대한 답을 찾고자 했다. 드러커에게 매니지먼트는 단순한 비즈니스 용어가 아니라 새로운 사회를 구축해 나가는 데 반드시 필요한 사고방식이었다. 이 책은 이러한 드러커의 고민과 개인적 경험을 토대로 직장인들에게 도움이 될 만한 드러커 이론을 알기 쉽게 풀어 놓았다.",2012-01-15,https://image.aladin.co.kr/product/1443/0/cover500/8997396005_1.jpg,국내도서>경제경영>CEO/비즈니스맨을 위한 능력계발>성공학/경력관리,0,0,1,,1,,False,,False,False,,0
 세계적인 투자은행의  보고서 작성법 66,쿠마노히토시,아이스토리,대덕소프트웨어마이스터고등학교,IT00005041,325.484 쿠32ㅂ,보기 좋은 보고서가 설득력을 갖는다는 것은 누구나 알고 있다. 어떻게 보기 좋게 만드는지가 궁금할 뿐. 이 책에서는 상대방이 한눈에 알아볼 수 있도록 보기 좋은 보고서를 만들고자 할 때 고려해야 할 요소들을 깨알같이 소개하고 있다.,2016-11-15,https://image.aladin.co.kr/product/9581/22/cover500/k332535431_1.jpg,국내도서>자기계발>기획/보고>보고,0,0,1,,1,,False,,False,False,,0
 토요타에서 배운 종이 한 장으로 요약하는 기술   1     ,아사다스구루,시사일본어사,대덕소프트웨어마이스터고등학교,IT00005044,325.211 아52ㅈ c.2,,,,,0,0,1,,1,,False,,False,False,,0
버리고 사는 연습,코이케 류노스케,21세기북스,대덕소프트웨어마이스터고등학교,EM00012349,830 류195ㅂ c.2,대부분의 사람들은 물건을 소유하는 것이 곧 행복이라고 믿는다. 그런데 많은 것을 가지게 된 부자가 되었다고 과연 그들이 행복하다고 말하는가? 코이케 스님은 가난한 상태에 있을 때는 자신이 불행한 이유가 가난하기 때문이라고 생각하지만 이런 착각은 가난에서 벗어나 풍요로움을 체험하기 전까지만 계속될 뿐이라고 말한다.,2011-08-16,https://image.aladin.co.kr/product/1276/36/cover500/8950931966_1.jpg,국내도서>자기계발>힐링>마음 다스리기,0,0,1,,1,,False,,False,False,,0
제대로 시켜라,류랑도,샘앤파커스,대덕소프트웨어마이스터고등학교,EM00012479,300 류292ㅈ c.2,"700여 기업 및 공공기관에 성과컨설팅을 수행한 대한민국 최고의 성과창출 전문가인 저자가 그동안 만난 수많은 리더들의 사례를 토대로 리더로서 원하는 성과를 내기 위한 실전적 지침을 주는 책. ‘제대로 시키는’ 것. 성과목표를 설정해 소통하고, 전략을 코칭하고, 실행자원을 지원하고, 권한위임하고, 소명의식을 심어주고, 역량을 강화하며, 보상을 통해 도전정신을 고취하는 7단계 로드맵이 생생한 현장사례와 함께 펼쳐진다.",2011-07-10,https://image.aladin.co.kr/product/1213/6/cover500/8965700213_1.jpg,국내도서>자기계발>리더십>리더십,0,0,1,,1,,False,,False,False,,0
마흔에 읽는 손자병법,강상구,흐름출판,대덕소프트웨어마이스터고등학교,EM00012672,330 강52ㅁ,"‘정치와 경영의 바이블’이라 할 수 있는《손자병법》을 통해 인생과 경영의 지혜를 한 수 가르쳐준다. 
“《손자병법》 가르침의 밑바닥에는 경쟁자를 나와 함께 살아가는 동반자로 인정하는 철학이 숨어 있다. 겉으로 보면 《손자병법》은 ‘싸움의 기술’이다. 그러나 그 속은 ‘서로에 대한 존중’이다. 오늘날 우리가 손자에게서 배울 것은 겉이 아니라 속이다.” 이것이 저자가 마흔에 읽은 손자병법의 철학이자, 독자들에게 전하려는 마흔에 대한 메시지다. 

",2011-07-20,https://image.aladin.co.kr/product/1246/99/cover500/8965960126_1.jpg,국내도서>자기계발>중년의 자기계발,0,0,1,,1,,False,,False,False,,0
우리는 강한 리더를 원한다,김성희,샘엔파커스,대덕소프트웨어마이스터고등학교,EM00012678,330 김54ㅇ c.2,"당신은 혹시 ‘부드러운 카리스마’에 빠져 있지는 않은가? ‘칭찬해주고 편하게 대해주면 직원들도 힘 받아서 최고의 능력을 발휘하겠지’라고 생각하지는 않는가? 천만의 말씀. 느슨하게 풀어주기만 하는 리더십으로는 성과를 내지도, 부하를 키우지도 못한다. 부하를 쥐기만 하면 기를 못 펴고, 펴주기만 하면 오만해지는 법. 강한 조직을 만들고 싶으면 쥐지도 말고 펴지도 말고, 쥐락펴락하라. 나를 알고, 부하를 파악하고, 상황에 맞춰 팔색조가 되어 성과를 내는 ‘강한 리더’가 되는 필승 지침이 담긴 책이다.",2012-04-20,https://image.aladin.co.kr/product/1605/22/cover500/8965700701_1.jpg,국내도서>자기계발>리더십>리더십,0,0,1,,1,,False,,False,False,,0
로지컬 라이팅,데루야 하나코,리더스북,대덕소프트웨어마이스터고등학교,EM00012694,325.48 데296ㄹ,우리나라와 일본에서 커다란 반향을 일으키며 베스트셀러가 된 <로지컬 씽킹>의 실천편이다. 이 책은 로지컬 라이팅 기술로 논리적 구성을 하고 명확한 표현 갖춰 비즈니스 문서를 효과적으로 작성하는 방법을 알려준다.,2019-07-29,https://image.aladin.co.kr/product/19975/9/cover500/k432635942_1.jpg,국내도서>자기계발>시간관리/정보관리>정보관리,0,0,1,,1,,False,,False,False,,0
사람을 얻는 기술,레일 라운즈,토네이도,대덕소프트웨어마이스터고등학교,EM00012701,331.18 라66ㅅ,성공적인 삶을 살아가는 사람들을 주의 깊게 살펴보라. 그들의 주변은 늘 '사람들'로 북적인다. 그들이 성공했기 때문에 사람들이 몰려온 것일까? 아니다. 성공에 필요한 사람들을 끊임없이 불러 모았기 때문에 그들은 성공할 수 있었다.,2007-06-20,https://image.aladin.co.kr/product/92/99/cover500/8992060238_1.jpg,국내도서>자기계발>인간관계>인간관계,0,0,1,,1,,False,,False,False,,0
홀로 성장하는 시대는 끝났다,이소영,더메이커,대덕소프트웨어마이스터고등학교,IT00015564,325.24 이55ㅎ c.8,"마이크로소프트에서 아시아 리전 매니저로 일하고 있는 이소영 이사가 지난 8년간 한국뿐 아니라 아시아 전 지역에서 활동하고 있는 IT 커뮤니티 리더 2,000여 명과 인터뷰하고 교류한 경험을 토대로 집필한 책이다.",2019-11-05,https://image.aladin.co.kr/product/21172/81/cover500/s732639538_1.jpg,국내도서>자기계발>리더십>리더십,0,0,1,,1,,False,,False,False,,0
